v8-version,6,2,414,54,0
code-creation,Stub,3,3898,0x322e5991e860,2099,"RecordWriteStub"
code-creation,Stub,3,3899,0x322e5991f100,2084,"RecordWriteStub"
code-creation,Stub,3,3900,0x322e5991f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,3901,0x322e59920280,2087,"RecordWriteStub"
code-creation,Stub,3,3902,0x322e59920b20,2072,"RecordWriteStub"
code-creation,Stub,3,3902,0x322e599213a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3903,0x322e59921580,612,"An IC handler from the snapshot"
code-creation,Stub,3,3904,0x322e59921860,2126,"RecordWriteStub"
code-creation,Handler,4,3905,0x322e59922120,180,"An IC handler from the snapshot"
code-creation,Stub,3,3906,0x322e59922240,2088,"RecordWriteStub"
code-creation,Handler,4,3907,0x322e59922ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,3907,0x322e59922c00,3146,"SubStringStub"
code-creation,Stub,3,3908,0x322e599238c0,269,"CEntryStub"
code-creation,Stub,3,3909,0x322e59923a40,2106,"RecordWriteStub"
code-creation,Stub,3,3910,0x322e599242e0,2103,"RecordWriteStub"
code-creation,Stub,3,3911,0x322e59924b80,2110,"RecordWriteStub"
code-creation,Stub,3,3911,0x322e59925420,882,"RecordWriteStub"
code-creation,Stub,3,3912,0x322e59925800,2084,"RecordWriteStub"
code-creation,Stub,3,3913,0x322e599260a0,2072,"RecordWriteStub"
code-creation,Stub,3,3914,0x322e59926920,2106,"RecordWriteStub"
code-creation,Stub,3,3914,0x322e599271c0,2126,"RecordWriteStub"
code-creation,Stub,3,3915,0x322e59927a80,2113,"RecordWriteStub"
code-creation,Stub,3,3916,0x322e59928340,463,"StringAddStub"
code-creation,Builtin,5,3917,0x322e59928580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,3918,0x322e599286a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,3919,0x322e59928780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,3919,0x322e59928900,2117,"RecordWriteStub"
code-creation,Stub,3,3920,0x322e599291c0,2142,"RecordWriteStub"
code-creation,Stub,3,3937,0x322e59929a80,2100,"RecordWriteStub"
code-creation,Stub,3,3938,0x322e5992a320,2117,"RecordWriteStub"
code-creation,Stub,3,3939,0x322e5992abe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3940,0x322e5992ad40,2130,"RecordWriteStub"
code-creation,Stub,3,3940,0x322e5992b600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3941,0x322e5992b7e0,2076,"RecordWriteStub"
code-creation,Stub,3,3942,0x322e5992c060,2142,"RecordWriteStub"
code-creation,Stub,3,3943,0x322e5992c920,491,"StringAddStub"
code-creation,Stub,3,3944,0x322e5992cb80,2088,"RecordWriteStub"
code-creation,Stub,3,3944,0x322e5992d420,2125,"RecordWriteStub"
code-creation,Stub,3,3945,0x322e5992dce0,2084,"RecordWriteStub"
code-creation,Stub,3,3946,0x322e5992e580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,3947,0x322e5992e6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,3948,0x322e5992e9a0,2126,"RecordWriteStub"
code-creation,Stub,3,3948,0x322e5992f260,2109,"RecordWriteStub"
code-creation,Stub,3,3949,0x322e5992fb00,2072,"RecordWriteStub"
code-creation,Stub,3,3950,0x322e59930380,2130,"RecordWriteStub"
code-creation,Stub,3,3951,0x322e59930c40,2125,"RecordWriteStub"
code-creation,Handler,4,3951,0x322e59931500,552,"An IC handler from the snapshot"
code-creation,Stub,3,3952,0x322e599317a0,2088,"RecordWriteStub"
code-creation,Stub,3,3953,0x322e59932040,2129,"RecordWriteStub"
code-creation,Stub,3,3954,0x322e59932900,1225,"RecordWriteStub"
code-creation,Stub,3,3955,0x322e59932e40,269,"CEntryStub"
code-creation,Stub,3,3955,0x322e59932fc0,2100,"RecordWriteStub"
code-creation,Stub,3,3956,0x322e59933860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3957,0x322e599339a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3958,0x322e59933b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,3959,0x322e59933e60,2091,"RecordWriteStub"
code-creation,Stub,3,3960,0x322e59934700,2130,"RecordWriteStub"
code-creation,Handler,4,3960,0x322e59934fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,3961,0x322e599350c0,2076,"RecordWriteStub"
code-creation,Stub,3,3962,0x322e59935940,884,"RecordWriteStub"
code-creation,Stub,3,3963,0x322e59935d20,331,"CallApiGetterStub"
code-creation,Stub,3,3964,0x322e59935ee0,261,"MathPowStub"
code-creation,Stub,3,3965,0x322e59936060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3965,0x322e59936200,2091,"RecordWriteStub"
code-creation,Stub,3,3966,0x322e59936aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3967,0x322e59936be0,2134,"RecordWriteStub"
code-creation,Stub,3,3968,0x322e599374a0,2126,"RecordWriteStub"
code-creation,Stub,3,3969,0x322e59937d60,1207,"RecordWriteStub"
code-creation,Stub,3,3969,0x322e59938280,2079,"RecordWriteStub"
code-creation,Stub,3,3970,0x322e59938b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3971,0x322e59938d00,2099,"RecordWriteStub"
code-creation,Stub,3,3972,0x322e599395a0,2160,"RecordWriteStub"
code-creation,Stub,3,3973,0x322e59939e80,2088,"RecordWriteStub"
code-creation,Stub,3,3973,0x322e5993a720,89,"DoubleToIStub"
code-creation,Stub,3,3974,0x322e5993a7e0,2118,"RecordWriteStub"
